===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-06-05 22:10:13
count workspace : c:\Users\Ciro\Desktop\lsarp-project\scripts
total files : 122
total code lines : 23401
total comment lines : 883
total blank lines : 2377

account_system\accessors.pwn, code is 139, comment is 0, blank is 35.
account_system\core.pwn, code is 232, comment is 3, blank is 41.
account_system\dialogs.pwn, code is 276, comment is 14, blank is 42.
account_system\enum.pwn, code is 62, comment is 6, blank is 8.
admin\commands.pwn, code is 942, comment is 22, blank is 125.
admin\core.pwn, code is 75, comment is 2, blank is 14.
admin\enum.pwn, code is 0, comment is 0, blank is 0.
admin\request.pwn, code is 1, comment is 0, blank is 1.
admin\supporter_commands.pwn, code is 16, comment is 0, blank is 1.
animation_system\commands.pwn, code is 799, comment is 6, blank is 232.
animation_system\core.pwn, code is 63, comment is 5, blank is 5.
anticheat\cheats\health_armour.pwn, code is 43, comment is 5, blank is 8.
anticheat\cheats\money.pwn, code is 48, comment is 0, blank is 4.
anticheat\cheats\no_reload.pwn, code is 39, comment is 0, blank is 7.
anticheat\cheats\weapons.pwn, code is 96, comment is 6, blank is 8.
anticheat\core.pwn, code is 101, comment is 5, blank is 14.
anticheat\enum.pwn, code is 48, comment is 8, blank is 7.
building\commands\admin.pwn, code is 204, comment is 33, blank is 36.
building\core.pwn, code is 275, comment is 4, blank is 51.
building\enum.pwn, code is 41, comment is 3, blank is 4.
callbacks.pwn, code is 7, comment is 1, blank is 5.
chopshop_system\commands.pwn, code is 44, comment is 2, blank is 13.
chopshop_system\core.pwn, code is 63, comment is 3, blank is 15.
commands.pwn, code is 0, comment is 1, blank is 2.
database\core.pwn, code is 49, comment is 0, blank is 20.
dealership\commands.pwn, code is 215, comment is 5, blank is 17.
dealership\core.pwn, code is 261, comment is 4, blank is 35.
dealership\enum.pwn, code is 40, comment is 3, blank is 3.
dealership\player.pwn, code is 213, comment is 1, blank is 20.
defines.pwn, code is 31, comment is 0, blank is 6.
dp_system\core.pwn, code is 149, comment is 0, blank is 13.
dp_system\enum.pwn, code is 11, comment is 0, blank is 2.
drop_system\accessors.pwn, code is 97, comment is 0, blank is 15.
drop_system\core.pwn, code is 145, comment is 2, blank is 11.
drop_system\enum.pwn, code is 26, comment is 2, blank is 3.
easyDialogs.pwn, code is 54, comment is 2, blank is 23.
enums.pwn, code is 0, comment is 1, blank is 1.
event_system\event_enum.pwn, code is 0, comment is 8, blank is 0.
faction_system\accessors.pwn, code is 93, comment is 0, blank is 19.
faction_system\commands.pwn, code is 86, comment is 0, blank is 14.
faction_system\commands\common.pwn, code is 71, comment is 11, blank is 9.
faction_system\commands\police.pwn, code is 143, comment is 0, blank is 21.
faction_system\core.pwn, code is 261, comment is 11, blank is 31.
faction_system\dialogs.pwn, code is 152, comment is 3, blank is 14.
faction_system\enum.pwn, code is 65, comment is 3, blank is 7.
forwarded_functions.pwn, code is 13, comment is 2, blank is 2.
house_system\commands.pwn, code is 90, comment is 1, blank is 8.
